video_id,method,query,start,end,score,best_iou,matched_gt,matched_subjectivity
TVSUM_31,Moment-DETR,video segment showing a scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,60.0,64.0,0.01,0.375,A scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,1.0
TVSUM_31,Moment-DETR,A scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,125.0,129.0,0.01,0.12903225806451613,"A group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",2.0
TVSUM_31,Moment-DETR,a scene where a scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,157.0,161.0,0.01,0.11428571428571428,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",2.0
TVSUM_31,Moment-DETR,the moment when a scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,203.0,207.0,0.01,0.0,,
TVSUM_31,Moment-DETR,The camera captures the crowd's somber reaction as onlookers process the intense message,42.0,46.0,0.01,0.11764705882352941,Performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,2.0
TVSUM_31,Moment-DETR,a scene where the camera captures the crowd's somber reaction as onlookers process the intense message,107.0,112.0,0.01,0.16129032258064516,"A group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",2.0
TVSUM_31,Moment-DETR,video segment showing the camera captures the crowd's somber reaction as onlookers process the intense message,157.0,161.0,0.01,0.11428571428571428,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",2.0
TVSUM_31,Moment-DETR,the moment when the camera captures the crowd's somber reaction as onlookers process the intense message,169.0,173.0,0.01,0.13333333333333333,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference,2.0
TVSUM_31,Moment-DETR,"the event in which protesters hold up 'free syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",98.0,102.0,0.01,0.125,"Protesters hold up 'Free Syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",1.0
TVSUM_31,Moment-DETR,"Protesters hold up 'Free Syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",126.0,130.0,0.01,0.12903225806451613,"A group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",2.0
TVSUM_31,Moment-DETR,"the moment when protesters hold up 'free syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",149.0,153.0,0.01,0.11428571428571428,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",2.0
TVSUM_31,Moment-DETR,"video segment showing protesters hold up 'free syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",165.0,169.0,0.01,0.08333333333333333,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",2.0
TVSUM_31,Moment-DETR,"a scene where protesters hold up 'free syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",200.0,204.0,0.01,0.0,,
TVSUM_31,Moment-DETR,"A group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",27.0,31.0,0.01,0.11764705882352941,Performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,2.0
TVSUM_31,Moment-DETR,"video segment showing a group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",41.0,45.0,0.01,0.11764705882352941,Performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,2.0
TVSUM_31,Moment-DETR,"the event in which a group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",76.0,80.0,0.01,0.2857142857142857,The camera captures the crowd's somber reaction as onlookers process the intense message,1.0
TVSUM_31,Moment-DETR,"a scene where a group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",86.0,93.0,0.01,0.5,"Protesters hold up 'Free Syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",1.0
TVSUM_31,Moment-DETR,"the event in which performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",97.0,101.0,0.01,0.2,"Protesters hold up 'Free Syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",1.0
TVSUM_31,Moment-DETR,"video segment showing performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",153.0,158.0,0.01,0.14285714285714285,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",2.0
TVSUM_31,Moment-DETR,"the moment when performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",164.0,168.0,0.01,0.11428571428571428,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",2.0
TVSUM_31,Moment-DETR,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",183.0,187.0,0.01,0.13333333333333333,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference,2.0
TVSUM_31,Moment-DETR,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference,98.0,102.0,0.01,0.125,"Protesters hold up 'Free Syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",1.0
TVSUM_31,Moment-DETR,the moment when the flash mob concludes with the 'silence is betrayal' poster as a final call to action against global indifference,108.0,112.0,0.01,0.12903225806451613,"A group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",2.0
TVSUM_31,Moment-DETR,the event in which the flash mob concludes with the 'silence is betrayal' poster as a final call to action against global indifference,165.0,169.0,0.01,0.08333333333333333,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",2.0
TVSUM_31,Moment-DETR,video segment showing the flash mob concludes with the 'silence is betrayal' poster as a final call to action against global indifference,191.0,195.0,0.01,0.13333333333333333,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference,2.0
TVSUM_31,Moment-DETR,a scene where the flash mob concludes with the 'silence is betrayal' poster as a final call to action against global indifference,203.0,207.0,0.01,0.0,,
